C¢digo de Barras;Tipo de Produto;Descriá∆o;Preáo de Custo;Preáo Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque m°nimo;Quantidade em Estoque;Marca;Modelo;C¢digo Balanáa;C¢digo Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Bot∆o PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preáo De;Preáo Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descriá∆o do Produto;Garantia;Itens Inclusos;Especificaá‰es
7,90E+12;Produto;QUEIJO TIPO GRANA PADANO FRAC NERO (150G);105.00;149.99;Quilograma;Sim;;;Sim;0.000;1.570;;;7320;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702400;;;;;;0.00;149.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;QUEIJO TIPO GRANA PADANO FRAC.(150GR)CX 3KG;98.00;144.99;Quilograma;Sim;;;Sim;0.000;2.244;;;7430;207026;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702400;;;;;;0.00;144.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;QUEIJO TIPO GRANA PADANO ZERO LACTOSE FRAC (150G);79.00;129.99;Quilograma;Sim;;;Sim;0.000;1.528;;;7440;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702400;;;;;;0.00;129.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;QUEIJO TIPO PROVOLONE MATURADO DEFUMADO FRAC. (250G);50.00;74.99;Quilograma;Sim;;;Sim;0.000;-0.308;;;9000;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;QUEIJO TIPO PROVOLONE MATURADO FRAC. (250G);52.00;74.99;Quilograma;Sim;;;Sim;0.000;1.488;;;9110;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702400;;;;;;0.00;74.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;Q. PECORINO ROMANO FRAC. (CUNHA 150G);211.00;269.99;Quilograma;Sim;;;Sim;0.000;0.912;;;5020;207415;;Mercadoria para Revenda;;NACIONAL-IMP. ENTRE 40% E 70%;1702400;;;;;;0.00;269.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;Q. PECORINO ROMANO FRAC. (CUNHA 150G) - ZERO LACTOSE;119.00;249.99;Quilograma;Sim;;;Sim;0.000;1.124;;;5070;;;Mercadoria para Revenda;;NACIONAL-IMP. ENTRE 40% E 70%;1702400;;;;;;0.00;249.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;Q. PECORINO SARDO FRAC. (CUNHA 150G);170.00;249.90;Quilograma;Sim;;;Sim;0.000;1.840;;;5040;;;Mercadoria para Revenda;;NACIONAL-IMP. ENTRE 40% E 70%;1702400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;MANTEIGA EXTRA LATA 200G - ZERO LACTOSE;9.60;14.00;Unidade;Sim;;;Sim;0.000;12.000;GRAN MESTRI;;;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702500;;;;;;0.00;14.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;MANTEIGA EXTRA LATA COM SAL 200GR;8.90;12.99;Unidade;Sim;;;Sim;0.000;20.000;;;;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702500;;;;;;0.00;12.99;0.000;0.000;0.000;0.000;;;;
